                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.66583,                0.43927,                0.92806,                0.80401,                0.77422,                0.79907,                0.59089,                0.73691,                0.58938,                 1.1533,               0.005446,               0.005446,               0.005446
                     71,                0.66726,                0.42953,                0.92855,                0.86468,                0.72387,                0.79756,                0.59499,                0.70866,                0.57852,                 1.1273,                0.00538,                0.00538,                0.00538
                     72,                0.66253,                0.42371,                0.92841,                0.79004,                0.76886,                0.80107,                 0.5851,                0.77365,                0.67224,                 1.1783,               0.005314,               0.005314,               0.005314
                     73,                0.65213,                0.42488,                0.92711,                0.84772,                0.75878,                 0.8253,                0.60254,                0.70323,                0.62369,                 1.1299,               0.005248,               0.005248,               0.005248
                     74,                0.64981,                0.42208,                0.92414,                0.84054,                0.72887,                0.78916,                0.58777,                0.75523,                0.66981,                 1.1765,               0.005182,               0.005182,               0.005182
                     75,                0.65328,                0.43258,                0.93267,                0.84335,                0.75742,                0.81203,                0.60594,                 0.7656,                0.68764,                 1.1895,               0.005116,               0.005116,               0.005116
                     76,                0.65806,                 0.4269,                 0.9319,                0.83367,                0.70457,                   0.79,                 0.5851,                 0.7591,                0.67843,                 1.1864,                0.00505,                0.00505,                0.00505
                     77,                 0.6488,                0.42055,                0.92924,                0.80109,                0.75557,                0.78676,                0.57974,                0.74342,                0.71885,                 1.1485,               0.004984,               0.004984,               0.004984
                     78,                 0.6441,                0.42354,                0.92852,                0.82441,                0.72126,                0.77172,                0.58039,                0.74815,                0.79714,                 1.1882,               0.004918,               0.004918,               0.004918
                     79,                0.63179,                0.41282,                 0.9173,                0.83233,                0.73973,                0.78598,                0.58374,                0.81753,                0.76125,                 1.3165,               0.004852,               0.004852,               0.004852
                     80,                0.63668,                0.41936,                0.92473,                0.85557,                0.71699,                 0.7863,                0.58967,                0.77832,                0.77738,                 1.2205,               0.004786,               0.004786,               0.004786
                     81,                0.63376,                0.42045,                0.92496,                0.82532,                0.77844,                0.82412,                0.62468,                0.71264,                0.70555,                 1.1426,                0.00472,                0.00472,                0.00472
                     82,                0.62262,                0.40612,                0.91565,                0.79439,                0.73389,                0.75257,                0.57567,                0.68465,                0.72341,                 1.1381,               0.004654,               0.004654,               0.004654
