                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.72495,                0.41904,                 0.9569,                0.73384,                0.87388,                0.81912,                0.64255,                 0.7471,                0.95036,                 1.0596,             0.00061372,             0.00061372,             0.00061372
                     60,                0.73263,                0.41815,                0.96095,                0.72329,                0.85648,                0.79563,                0.61014,                0.74376,                0.95767,                 1.0402,             0.00060706,             0.00060706,             0.00060706
                     61,                0.73123,                0.42882,                0.95504,                0.73109,                0.89345,                0.82207,                0.63471,                0.74744,                0.98335,                 1.0416,              0.0006004,              0.0006004,              0.0006004
                     62,                0.72883,                0.42431,                0.95592,                0.71622,                0.87725,                0.80908,                0.62884,                0.71538,                  1.008,                 1.0168,             0.00059374,             0.00059374,             0.00059374
                     63,                0.72089,                0.41121,                0.94384,                0.74375,                0.91441,                0.81763,                0.62695,                0.72778,                0.96777,                 1.0281,             0.00058708,             0.00058708,             0.00058708
                     64,                0.70701,                0.40329,                0.93846,                0.72558,                0.86608,                0.79204,                 0.6127,                0.74003,                 1.0797,                 1.0514,             0.00058042,             0.00058042,             0.00058042
                     65,                0.71215,                0.40893,                0.94985,                0.66327,                0.93013,                0.78932,                0.60953,                0.74728,                 1.0369,                 1.0653,             0.00057376,             0.00057376,             0.00057376
                     66,                0.69901,                0.41162,                0.93882,                 0.7273,                0.85604,                 0.8003,                0.61905,                0.74623,                 1.0107,                 1.0756,              0.0005671,              0.0005671,              0.0005671
                     67,                0.70663,                0.40001,                0.94209,                0.74325,                0.86814,                0.80862,                0.62786,                0.74537,                 1.0352,                 1.0742,             0.00056044,             0.00056044,             0.00056044
                     68,                0.69962,                0.40318,                0.94468,                0.75947,                0.85212,                0.81743,                0.63749,                0.73593,                 1.0028,                 1.0742,             0.00055378,             0.00055378,             0.00055378
                     69,                0.71507,                0.41932,                0.95475,                0.71253,                0.90774,                0.82004,                0.64048,                0.72967,                0.97362,                  1.055,             0.00054712,             0.00054712,             0.00054712
                     70,                0.68391,                0.39589,                 0.9397,                0.75301,                0.87034,                 0.8081,                 0.6297,                0.75122,                0.99497,                 1.0615,             0.00054046,             0.00054046,             0.00054046
                     71,                0.70141,                0.39773,                0.93681,                0.73747,                0.89324,                0.80549,                0.62194,                0.74936,                0.99482,                  1.078,              0.0005338,              0.0005338,              0.0005338
